,WBA02_Storage_AF,WBA03_Storage_AF,WBA04_Storage_AF,WBA05_Storage_AF,WBA06_Storage_AF,WBA07N_Storage_AF,WBA07S_Storage_AF,WBA08N_Storage_AF,WBA08S_Storage_AF,WBA09_Storage_AF,WBA10_Storage_AF,WBA11_Storage_AF,WBA12_Storage_AF,WBA13_Storage_AF,WBA14_Storage_AF,WBA15N_Storage_AF,WBA15S_Storage_AF,WBA16_Storage_AF,WBA17N_Storage_AF,WBA17S_Storage_AF,WBA18_Storage_AF,WBA19_Storage_AF,WBA20_Storage_AF,WBA21_Storage_AF,WBA22_Storage_AF,WBA23_Storage_AF,WBA24_Storage_AF,WBA25_Storage_AF,WBA26N_Storage_AF,WBA26S_Storage_AF,WBA50_Storage_AF,WBA60N_Storage_AF,WBA60S_Storage_AF,WBA61_Storage_AF,WBA62_Storage_AF,WBA63_Storage_AF,WBA64_Storage_AF,WBA71_Storage_AF,WBA72_Storage_AF,WBA73_Storage_AF,WBA90_Storage_AF,DETAW_Storage_AF
1973-10-31,23068278.92,6739095.03,85689715.43,38957645.65,5397644.47,28218044.95,49565081.68,30101300.68,52462073.16,18645995.04,11811008.59,37058877.91,1871424.29,468824.89,1357247.69,3164319.85,8223062.19,11237416.96,6257295.01,3803428.58,13368062.68,19184985.74,47119876.52,11341214.81,11903221.66,6038953.42,4026063.82,58613754.1,14900078.55,26175172.58,14034821.8,100573750.01,49931072.66,83996107.44,92895022.52,95131151.89,144167985.41,43689915.53,108434222.14,59322020.97,362653671.01,171138618.35
1973-11-30,23158560.51,6809657.17,85780926.06,39055221.92,5415200.54,28250977.78,49627066.82,30155386.72,52629654.86,18710515.44,11834082.78,37117729.21,1888822.13,476443.14,1361761.36,3185185.24,8257252.53,11280402.33,6267478.1,3815401.68,13399019.5,19256098.62,47179960.18,11409602.98,11961747.54,6057800.22,4029123.67,58668651.99,14926357.55,26229576.67,14034767.37,100625656.6,49958383.8,83962941.65,92868573.36,95133153.19,144208543.67,43690302.82,108439938.44,59332159.95,362741204.92,171242149.6
1973-12-31,23214053.14,6842273.62,85895981.25,39110012.64,5461077.35,28277460.42,49683105.14,30183182.8,52709790.43,18741926.0,11855665.33,37150239.08,1896313.26,475773.9,1366428.18,3190471.41,8282014.08,11299722.64,6276572.5,3820976.91,13411609.53,19293899.82,47246415.86,11451341.2,12000257.58,6076958.4,4036078.57,58690726.6,14943750.23,26270383.33,14036744.09,100705834.35,49995424.58,83972769.2,92878251.34,95173635.33,144273012.4,43699101.01,108450939.68,59340621.99,362833296.13,171306549.73
1974-01-31,23266711.45,6869582.28,86039002.59,39171905.48,5521250.38,28316286.02,49718592.04,30214812.43,52734339.3,18768532.31,11884322.02,37201163.7,1905559.67,481560.78,1372260.85,3211638.59,8313529.12,11335317.15,6284440.5,3825558.25,13418881.91,19312273.27,47338449.67,11468116.6,12014276.35,6094650.06,4043699.95,58738045.34,14961513.2,26315197.19,14037256.52,100805529.32,50032463.44,84027210.33,92935502.06,95232571.74,144405467.29,43709904.65,108466453.05,59353629.73,362951933.94,171363128.05
1974-02-28,23238081.44,6840608.2,86038117.17,39153864.44,5543106.97,28334598.01,49726376.6,30192213.96,52716507.44,18744740.98,11897779.31,37197688.61,1902726.82,474278.24,1373837.33,3194386.1,8308505.18,11307489.05,6285944.38,3819766.56,13408753.06,19298948.78,47382721.47,11449523.17,11998094.23,6096703.39,4047310.35,58742684.24,14953807.14,26320739.43,14037532.28,100812904.97,50052715.58,84016806.13,92932144.1,95244633.7,144501327.91,43712996.23,108477982.34,59362805.81,363046422.95,171328269.52
1974-03-31,23269265.47,6856444.73,86105453.82,39199223.09,5575006.95,28365613.29,49742083.04,30213545.42,52750235.41,18761503.5,11920778.25,37226569.76,1907195.95,478211.11,1377211.93,3205629.45,8327665.79,11322003.26,6289445.01,3823273.18,13414995.18,19319321.9,47441152.82,11475141.24,12029323.7,6110206.16,4053782.13,58769757.83,14976534.73,26353570.06,14040052.25,100874943.9,50090970.67,84045863.72,92942867.85,95289138.72,144629516.65,43731431.91,108502898.22,59376019.24,363155034.42,171395574.78
1974-04-30,23286297.2,6865259.71,86140062.17,39222430.21,5590368.08,28383595.18,49712801.16,30218545.83,52687387.0,18753743.27,11932895.59,37235111.98,1908289.7,479875.43,1377160.27,3212328.13,8333520.69,11336727.68,6290679.76,3825559.71,13409809.81,19281496.87,47457663.91,11448123.87,12015029.43,6112809.2,4054419.47,58790222.55,14976499.89,26362467.13,14040853.22,100897668.81,50106642.8,84058059.64,92941332.14,95319280.63,144728028.55,43740539.36,108516094.68,59379194.39,363222359.17,171385826.12
1974-05-31,23259804.65,6843699.72,86109610.25,39198765.62,5598235.24,28377556.16,49679319.85,30198116.35,52681831.56,18722688.05,11928678.44,37214823.81,1900478.39,469890.11,1376957.47,3190196.69,8298077.52,11303048.48,6290493.18,3817687.74,13400599.88,19260211.05,47427952.25,11421801.61,11994629.34,6092470.48,4043234.36,58755194.35,14969111.85,26357702.85,14040339.7,100859691.41,50096548.56,84054180.07,92939458.51,95327524.18,144729625.01,43742410.31,108510623.28,59364047.04,363180889.62,171326415.55
1974-06-30,23255987.67,6842243.97,86084094.49,39181674.93,5600174.84,28356674.67,49633822.34,30185689.36,52654626.8,18698605.06,11917946.76,37201231.21,1893871.35,464978.41,1376031.17,3179041.69,8271236.03,11287537.46,6290728.73,3813867.85,13394711.94,19235502.39,47389835.11,11402517.11,11978771.97,6078074.97,4032739.2,58721569.52,14964435.95,26352785.02,14038120.28,100810235.59,50074498.64,84039171.94,92952468.56,95336277.21,144698661.36,43748455.43,108503164.52,59344625.87,363148464.27,171283764.87
1974-07-31,23256211.66,6843966.05,86062595.68,39170319.32,5601454.92,28339448.22,49602363.25,30184809.93,52653631.5,18689910.48,11909719.49,37210951.49,1894035.02,465588.41,1375674.12,3180151.91,8254367.44,11287473.04,6292401.15,3813682.38,13395101.02,19226481.01,47353495.29,11394488.72,11976105.57,6070658.44,4027307.26,58693147.22,14960535.74,26347185.29,14036334.37,100756314.38,50050708.84,84006015.71,92967607.02,95343664.07,144645398.8,43761938.9,108504732.0,59328303.74,363130114.74,171257567.67
