fid,OBJECTID,WBA_ID,HydroRegion,GIS_Acres,Shape_Length,Shape_Area,Comments,Source,Last_Modified_Date,Modified_By,Date_Data_Refers_To
"1","1",DETAW,,591679.283005213,485899.309135149,2394441106.43067,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"2","2","02",SAC,226872.109826503,237585.006981005,918118854.714822,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"3","3","03",SAC,209623.908753903,268499.143631433,848317861.429326,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"4","4","04",SAC,468899.456992742,260467.982450938,1897568778.99095,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"5","5","05",SAC,184721.884111226,256931.413260066,747542943.073342,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"6","6","06",SAC,37822.3521877356,109465.421031435,153061628.861213,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"7","7",07N,SAC,286131.877622403,240021.072989151,1157934626.60959,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"8","8",07S,SAC,392024.271318942,372589.360407476,1586465940.12374,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"9","9",08N,SAC,177137.766112191,212827.04739051,716851106.440711,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"10","10",08S,SAC,237757.913830072,288792.269291595,962172140.559653,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"11","11","09",SAC,100031.177430809,190140.431299665,404811812.826104,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"12","12","10",SAC,130732.774415699,201609.917251587,529056767.762341,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"13","13","11",SAC,257159.605873972,303543.854599396,1040688002.61294,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"14","14","12",SAC,36933.6130031834,94606.7173695876,149465028.984369,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"15","15","13",SAC,76118.2846898187,91316.5633236297,308039769.259064,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"16","16","14",SAC,71632.374534963,132814.037179002,289885934.938577,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"17","17",15N,SAC,51248.218966229,113106.433868111,207394184.060046,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"18","18",15S,SAC,105986.442697377,118922.869031367,428911916.317209,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
